"Financial Year","Return Type","Name","Creditor Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Amount owed","Financial or Non-financial institution"
"2017-18","Political Party Return","Liberal Party of Australia (Victorian Division)","Hope Earle","4 / 406 Collins Street","","MELBOURNE","VIC","3000","17200","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia (Victorian Division)","MyElectorate","2/96 Phillip Street","","PARRAMATTA","NSW","2150","20937","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia (Victorian Division)","National Australia Bank","500 Bourke Street","","MELBOURNE","VIC","3000","2230243","Financial"
"2017-18","Political Party Return","Liberal Party of Australia (Victorian Division)","Shinewing","Level 10","530 Collins Street","MELBOURNE","VIC","3000","22750","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia (Victorian Division)","Vapold Pty Ltd","104 Exhibition Street","","MELBOURNE","VIC","3000","3142302","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Australian Taxation Office","G.P.O Box 9990 ","","SYDNEY","NSW","2000","42272","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Bunori Pty Ltd","Locked Bag 2","","KINGS CROSS","NSW","1340","1485561","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Crosby/Textor Research Strategies Result","GPO Box 4399","","SYDNEY","NSW","2000","34807","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Harpur Philips","Suite 6, 14, 55 Miller St","","PYRMONT","NSW","","50040","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Liberal Properties","Locked Bag 2","","KINGS CROSS","NSW","1340","934100","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","MyElectorate Pty Ltd","PO Box 3184","","PARRAMATTA","NSW","2124","17583","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","NSW Electoral Commission","Level 25, 201 Kent Street","","SYDNEY","NSW","2000","290480","Non-financial"
"2017-18","Political Party Return","Liberal Party of Australia, NSW Division","Westpac Corporate Credit Cards","Level 31, 275 Kent Street","","SYDNEY","NSW","2000","32879","Financial"
"2017-18","Associated Entity Return","LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust","Altum Pty Ltd as Trustee for the Altum Head Quarters Trust","PO Box 940","","Spring Hill","QLD","4004","1428396","Non-financial"
"2017-18","Associated Entity Return","LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust","Australian Taxation Office","Locked Bag 1793","","Penrith","NSW","2750","17409","Non-financial"
"2017-18","Associated Entity Return","LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust","Liberal National Party","PO Box 940 ","","SPRING HILL","QLD","4004","198410","Non-financial"
"2017-18","Associated Entity Return","LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust","Liberal National Party","PO Box 940","","Spring Hill","QLD","4004","2810233","Non-financial"
"2017-18","Associated Entity Return","LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust","Westpac Banking Corporation","PO Box 7430","","Loganholme","QLD","4129","5486418","Financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","Australian Press Council","Level 6, 309 Kent Street","","Sydney","NSW","2000","62418","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","Australian Tax office","430 Wilson Street","","Albury","NSW","2640","19203","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","GOW Gates Insurance Brokers Pty Ltd","Level 8, 491 Kent Street","","Sydney","NSW","2000","156520","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","Media Super","GPO Box 4303","","Melbourne","VIC","3000","18989","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","Members Equity Bank","Level 23, 360 Collins St","","Melbourne","VIC","3000","939775","Financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","NAB Visa Card","GPO Box 9992","","Melbourne","VIC","3001","16696","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","Stage&Screen Travel Services","38 Drive Avenue","","Moore Park","NSW","2021","18575","Non-financial"
"2017-18","Associated Entity Return","Media Entertainment & Arts Alliance","The Walkley Foundation","245 Chalmers Street","","Redfern","NSW","2016","133221","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Audio Plus","Shop 2/195 Cobra St","","DUBBO","NSW","2830","26906","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Australian Taxation Office","Locked Bag 1793","","PENRITH","NSW","1793","46977","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Constituent Management Services Pty Ltd","Level 2 107 Pitt St Sydney NSW 2000","","SYDNEY","NSW","2000","46200","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Cowra Hire 2018","74-76 Redfern St","","COWRA","NSW","2794","22223","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Elton Ward Creative Pty Ltd","Level 7, 60 Clarence Street","","SYDNEY","NSW","2000","24030","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","National Building Foundation","GPO Box 4558","","SYDNEY","NSW","2001","360851","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","National Free Enterprise Foundation","GPO Box 4558","","SYDNEY","NSW","2001","497189","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","68531","Non-financial"
"2017-18","Political Party Return","National Party of Australia - N.S.W.","Westpac Banking Corporation","275 Kent Street","","SYDNEY","NSW","2000","23896","Financial"
"2017-18","Political Party Return","National Party of Australia - Victoria","The National Party of Australia","7 National Circuit","","BARTON","ACT","2600","62822","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","Adero Law","5 Torrens Street","","BRADDON","ACT","2600","26943","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","Australian Taxation Office - June Qtr BAS","PO Box 1936","","ALBURY","NSW","2640","182513","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","Australian Taxation Office - June Qtr BAS","PO Box 1936","","ALBURY","NSW","2640","167563","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","NUW National Office","833 Bourke Street","","DOCKLANDS","VIC","3008","13568","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","NUW Victoria Branch","833 Bourke Street","","DOCKLANDS","VIC","3008","19539","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","NUW Victorian Branch","833 Bourke Street","","DOCKLANDS","VIC","3008","17145","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","Office of State Revenue WA - payroll tax","200 St Georges Terrace","","PERTH","WA","6850","22975","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - National Office","State Revenue Office - Vic payroll tax","GPO Box 1680","","MELBOURNE","VIC","3001","42363","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - NSW Branch","AUSTRALIAN TAXATION OFFICE","GPO BOX 9990","","SYDNEY","NSW","2018","169091","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - NSW Branch","LUCRF","1/1 BRIDGE STREET","","GRANVILLE","NSW","2142","29131","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - NSW Branch","NATIONAL UNION WORKERS NATIONAL OFFICE","522 VICTORIA STREET","","MELBOURNE","VIC","3051","130752","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","833 Bourke Street Unit Trust","833 Bourke Street","","DOCKLANDS","VIC","3008","29151","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","1936","225918","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","Commerce Press","17 Flight Drive","","TULLAMARINE","VIC","3043","19706","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","Eddy Partners Pty Ltd","Level 8, 501 Latrobe Street","","MELBOURNE","VIC","3000","34650","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","Holding Redlich","GPO Box 2154","","MELBOURNE","VIC","3001","21091","Non-financial"
"2017-18","Associated Entity Return","National Union of Workers - Victorian Branch","National Union of Workers - National Office","833 Bourke Street","","DOCKLANDS","VIC","8012","273824","Non-financial"
"2017-18","Associated Entity Return","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Commissioner of Taxation","Locked Bag 1793","","PENRITH","NSW","1793","285468","Non-financial"
"2017-18","Associated Entity Return","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Employee Entitlement","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","3623680","Non-financial"
"2017-18","Associated Entity Return","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Fuji Xerox","8 Khartoum Road","","MACQUARIE PARK","NSW","2133","21964","Non-financial"
"2017-18","Associated Entity Return","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Office of State Revenue","Lang Centre","Cnr Hunter & Marsden Street","PARRAMATTA","NSW","2150","36582","Non-financial"
"2017-18","Associated Entity Return","Northern Territory ALP Investment Trust","ALP NT Branch","Unit 3, 63 Winnellie Road","","WINNELLIE","NT","0820","106255","Non-financial"
"2017-18","Associated Entity Return","Northern Territory ALP Investment Trust","ALP NT BRanch","Unit 3, 63 Winnellie Road","","WINNELLIE","NT","0820","8364","Non-financial"
"2017-18","Political Party Return","Online Direct Democracy - (Empowering the People!)","Berge Der Sarkissian","70 Carrinton Parade","","CURL CURL","NSW","2096","98863","Non-financial"
"2017-18","Associated Entity Return","Parakeelia Pty Ltd","Liberal Party of Australia","P.O. Box 6004","","Kingston","ACT","2604","853359","Non-financial"
"2017-18","Associated Entity Return","Parakeelia Pty Ltd","WYS Group Pty Ltd","GPO Box 1049","","Canberra","ACT","2609","27738","Non-financial"
"2017-18","Political Party Return","Pauline Hanson's One Nation","Australian Tax Office","GPO Box 9990","","BRISBANE CITY","QLD","4000","16970","Financial"
"2017-18","Political Party Return","Pauline Hanson's One Nation","Employsure Pty Ltd","Level 6/180 Thomas St","","SYDNEY SOUTH","NSW","2000","16458","Non-financial"
"2017-18","Political Party Return","Pauline Hanson's One Nation","Jetcorp Australia Pty Ltd","Po Box 639","","WOOLLAHRA","NSW","1350","68560","Non-financial"
"2017-18","Associated Entity Return","Perth Trades Hall Inc","Australian Labor Party WA Branch","PO Box 8117","","PERTH BC","WA","6849","497338","Non-financial"
"2017-18","Associated Entity Return","Perth Trades Hall Inc","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","1936","39603","Non-financial"
"2017-18","Associated Entity Return","Pilliwinks Pty Ltd as Trustee National Party Foundation","National Party of Australia - Victoria","Suite 908 Level 9","343 Little Collins Street","Melborne","VIC","3000","441528","Non-financial"
"2017-18","Associated Entity Return","Pilliwinks Pty Ltd as Trustee National Party Foundation","National Party of Australia - Victoria","Suite 908 Level 9","343 Little Collins Street","Melborne","VIC","3000","35658","Non-financial"
"2017-18","Associated Entity Return","Pilliwinks Pty Ltd as Trustee National Party Foundation","National Party of Australia - Victoria","Suite 908 Level 9","343 Little Collins Street","Melborne","VIC","3000","127470","Non-financial"
"2017-18","Associated Entity Return","Pilliwinks Pty Ltd as Trustee National Party Foundation","National Party of Australia - Victoria","Suite 908 Level 9","343 Little Collins Street","Melborne","VIC","3000","15000","Non-financial"
"2017-18","Associated Entity Return","Progressive Business Association Inc","ATO","GPO BOX 9845","","MELBOURNE","VIC","3000","51335","Financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - Tasmanian Branch","Australian Taxation Office","PO Box 9990","","Hobart","TAS","7000","34832","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - Tasmanian Branch","Steadfast IRS Pty Ltd","PO Box 125","","North Ryde","NSW","1670","38943","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - Tasmanian Branch","Various Employees - LSL/AL Provisions","C/- 72 York Street","","Launceston","TAS","7250","112454","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Coles Group","800 Toorak Road","","HAWTHORN EAST","VIC","3123","36182","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Custom Services Leasing","85 Epping Road","","NORTH RYDE","NSW","2113","32109","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Grant Thornton","GPO Box 4736","","MELBOURNE","VIC","3000","16300","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Grant Thornton","GPO Box 4736","","MELBOURNE","VIC","3001","85000","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Motorpass","GPO Box 5342","","MELBOURNE","VIC","3000","14826","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","State Revenue Office","121 Exhibition Street","","MELBOURNE","VIC","3000","23036","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Steadfast IRS Pty Ltd","GPO Box 20015","","MELBOURNE","VIC","3001","391589","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association - VIC Branch","Teska Carson","516 Church Street","","CREMORNE","VIC","3121","37730","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","AUSTRALIA POST","GPO BOX 2137","","MELBOURNE","VIC","3001","17451","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","AUSTRALIAN TAXATION OFFICE","LOCKED BAG 1936","","ALBURY","NSW","2640","330012","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","CUSTOM SERVICE LEASING PTY LTD","85 EPPING ROAD","","NORTH RYDE","NSW","2113","55325","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","GRECH SMITH BRIDLE","LEVEL 10/7 PITT STREET","","SYDNEY","NSW","2000","57200","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","OFFICE OF STATE REVENUE","GPO BOX 4042","","SYDNEY","NSW","2001","25655","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association NSW Branch","REST CORPORATE","PO BOX 350","","PARRATTA","NSW","2124","60116","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association of Western Australia","DOWN UNDER GROUP PTY LTD","PO Box 119","","BELMONT","WA","6984","31500","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees' Association of Western Australia","KPMG","GPO Box A29","","PERTH","WA","6837","63087","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association South Australian Branch (State Body)","Australian Taxation Office","Waymouth Street","","ADELAIDE","SA","5000","125570","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive & Allied Employees Association South Australian Branch (State Body)","Direct Mail Centre","1092 South Road","","EDWARDSTOWN","SA","5039","20433","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","Australian Taxation Office","Locked Bag 1793","","Penrith","NSW","1793","301716","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","Commonwealth Bank of Australia","PO Box 9823","","PARRAMATTA","NSW","2124","24875","Financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","Employee Entitlements","385 St Pauls Terrace","","Fortitude Valley","QLD","4006","1150061","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","Office of State Revenue","GPO Box 2248","","BRISBANE","QLD","4001","24448","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","RBC Business Solutions","1 Mayneview Street","","Milton","QLD","4064","15871","Non-financial"
"2017-18","Associated Entity Return","Shop Distributive and Allied Employees Association (QLD Branch)","Summit Auto Lease Australia Pty Ltd","PO Box 7109","","Silverwater","NSW","2128","38686","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","AJ Macken & Co","11th Floor, 53 Queen Street","","MELBOURNE","VIC","3000","36602","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","American Express","GPO Box 3928","","SYDNEY","NSW","2001","14023","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","Atomix Design P/L","102 Tynte Street","","NORTH ADELAIDE","SA","5006","29004","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","1936","32946","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","Integrated Technical Management P/L","26 Cochranes Road","","MOORABBIN","VIC","3189","74922","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","KPMG","Tower 2, 727 Collins Street","","MELBOURNE","VIC","3008","23481","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","Organization United For Respect","3758 Grand Avenue","Oakland, CA 94610","","","","21540","Non-financial"
"2017-18","Associated Entity Return","Shop, Distributive & Allied Employees' Association - National","Royce Communications","9th Floor, 53 Queen Street","","MELBOURNE","VIC","3000","56862","Non-financial"
"2017-18","Political Party Return","Sustainable Australia Party - Stop Overdevelopment / Corruption","Macquarie Leasing Pty Ltd","Level 4, 432 St Kilda Rd","","MELBOURNE","VIC","3004","42039","Financial"
"2017-18","Associated Entity Return","Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br","Slater & Gordon","44 Market St","","SYDNEY","NSW","2000","14709","Non-financial"
"2017-18","Associated Entity Return","Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br","TCFUA National Council","Level 3","540 Elizabeth St","MELBOURNE","VIC","3000","67221","Non-financial"
"2017-18","Associated Entity Return","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","CFMEU Construction & General Division Vic/Tas Branch","540 Elizabeth St","","MELBOURNE","VIC","3000","62963","Non-financial"
"2017-18","Associated Entity Return","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","CMFEU FFPD Division","Level 3","540 Elizabeth St","MELBOURNE","VIC","3000","55250","Non-financial"
"2017-18","Associated Entity Return","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","MSI Ragg Weir","Level 2","108 Power St","HAWTHORN","VIC","3122","24992","Non-financial"
"2017-18","Associated Entity Return","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","QuickSuper","GPO Box 1901","","MELBOURNE","VIC","3000","19077","Non-financial"
"2017-18","Associated Entity Return","The 500 Club (WA)","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","2640","14451","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Alison Campbell","4 Perry Street","","WILLIAMSTOWN","VIC","3016","80000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Angela Palombo","PO Box 51","","BRUNSWICK EAST","VIC","3057","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Anthony Williams","86 Lydia Street","","BRUNSWICK","VIC","3056","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Australian Tax Office","GPO Box 9990","","MELBOURNE","VIC","3001","15282","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Ben Ramcharan","14 Boyd Street","","NORTH WARRANDYTE","VIC","3113","30000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Colin Jacobs","43 Roberts Street","","BRUNSWICK EAST","VIC","3057","40000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Georgina Phillips","49 King William Street","","FITZROY","VIC","3065","50000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Hamish Taylor","135B McDonald Street","","MORDIALLOC","VIC","3195","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Isabel Beale","34 Hopkins Street","","BIRREGURRA","VIC","3242","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Janet Massey","7 Helena Street","","HIGHTON","VIC","3216","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Jeffrey McLean","9 Derby Parade","","CAULFIELD NORTH","VIC","3161","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Jennifer Henty","37 Alta Street","","CANTERBURY","VIC","3126","25000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Jeremy Press","39 High Street","","PRAHRAN","VIC","3181","25000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","John Cox","49 King William Street","","FITZROY","VIC","3065","100000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","John Friend-Pereira","14 Stocks Avenue","","ASHBURTON","VIC","3147","15000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Loretta Agius","1b/75A Fitzroy Street","","ST KILDA","VIC","3182","100000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Michael Gunter","3 Shields Street","","FLEMINGTON","VIC","3031","100000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Noel Wyndom","77 Corrigan Road","","NOBLE PARK","VIC","3174","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Paul Leitinger","33 Merton Street","","ALBERT PARK","VIC","3206","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Peter Selby Smith","1 Hill Street","","BLACKBURN","VIC","3130","20000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Rosie Collins","5/84 Greeves Street","","FITZROY","VIC","3065","40000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Stephanie Hodgins May","4/30 Blessington Street","","ST KILDA","VIC","3182","40000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Stephen Luntz","88 Union Street","","BRUNSWICK","VIC","3056","30000","Non-financial"
"2017-18","Political Party Return","The Australian Greens - Victoria","Tanya Smith","39 Armadale Street","","ARMADALE","VIC","3143","70000","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union NSW Branch","ATO","Commonwealth Offices, 2-12 Macquarie St, Paramatta NSW 2123","","Paramatta","NSW","2123","104396","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union NSW Branch","ATO - GST Payable","Commonwealth Offices, 2-12 Macquarie St, Paramatta NSW 2123","","Paramatta 2123","NSW","2123","237852","Financial"
"2017-18","Associated Entity Return","The Australian Workers' Union NSW Branch","Red Zed","GPO Box 1693","","MELBOURNE","VIC","3001","756620","Financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","333 Adelaide Street Pty Ltd","PO Box 7120","Riverside Centre","BRISBANE","QLD","4000","86830","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","ATO - BAS","Locked Bag 1793","","PENRITH","NSW","1793","181284","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","ATO - PAYG tax","Locked Bag 1793","","PENRITH","NSW","1793","45713","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","AWU National Office","Sussex Street","","SYDNEY","NSW","2000","368956","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","Chifley","Level 9","28 Margaret Street","SYDNEY","NSW","2000","482321","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","Mullen","PO Box 5404","","WEST END","QLD","4101","23760","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union of Employees Queensland","OSR - Payroll Tax","GPO Box 2475","","BRISBANE","QLD","4001","23714","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","ATO","Locked Bag 1936","","ALBURY","NSW","2640","187425","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","Australian Super","Level 33, 50 Lonsdale Street","","MELBOURNE","VIC","3000","25325","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","AWU National Office","Level 1, 16-20 Good Street","","GRANVILLE","NSW","2142","23052","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","Eastern Subaru","PO Box 135","","LILYDALE","NSW","2460","32950","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","Maurice Blackburn","Level 21, 380 La Trobe Street","","MELBOURNE","VIC","3000","31739","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","State Revenue Office Victoria","GPO Box 1680P","","MELBOURNE","VIC","3000","15348","Non-financial"
"2017-18","Associated Entity Return","The Australian Workers' Union Victorian Branch","Victorian Trades Hall Council","54 Victoria Street ","","CARLTON SOUTH","VIC","3053","23580","Non-financial"
"2017-18","Political Party Return","The Greens NSW","icare Workers Insurance","321 Kent St","","Sydney","NSW","2000","14041","Non-financial"
"2017-18","Associated Entity Return","The Menzies Research Centre Limited","Industrial Australia","Level 6/140","Creek Street","Brisbane","QLD","4000","44000","Non-financial"
"2017-18","Associated Entity Return","The Menzies Research Centre Limited","Liberal Party of Australia","P.O. Box 6004","","Kingston","ACT","2604","57922","Non-financial"
"2017-18","Associated Entity Return","The Menzies Research Centre Limited","Melbourne University Press","Level 1","715 Swanston Street","Carlton","VIC","3053","24332","Non-financial"
"2017-18","Associated Entity Return","The United Professional Firefighters Union of Western Australia","Deputy Commissioner of Taxation","Locked Bag 1936","","ALBURY","NSW","1936","32644","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union  VIC/TAS Branch","Bluegum Clothing Co","16-18 Ceylon Street","","NUNAWADING","VIC","3131","26575","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union  VIC/TAS Branch","State Revenue Office Vic","GPO BOX 2961","","MELBOURNE","VIC","3001","91425","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union  VIC/TAS Branch","Transport Workers Union of Australia National Office","388-390 Sussex Street","","SYDNEY SOUTH","NSW","2000","132085","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union (WA Branch)","Bluegum","16-18 Ceylon Street","","NUNAWADING","VIC","3131","17011","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union (WA Branch)","TWU of Australia","Level 2, 388-390 Sussex St","","SYDNEY","NSW","2000","76230","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia - NSW Branch","Australian Taxation Office","430 Wilson Street","","ALBURY","NSW","2640","20877","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia - NSW Branch","Transport Workers' Union of Australia","Level 2 388-390 Sussex Street","","Sydney","NSW","2000","111983","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia Queensland Branch","Arthur J Gallagher","2/601 Coronation Dr","","TOOWONG","QLD","4066","42735","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia Queensland Branch","Australian Taxation Office","GPO Box 9990","","BRISBANE","QLD","4000","84352","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia Queensland Branch","TWU of Australia","388-390 Sussex Street","","SYDNEY","NSW","2000","172074","Non-financial"
"2017-18","Associated Entity Return","Transport Workers Union of Australia SA/NT Branch","Australian Taxation Office","GPO Box 9845","","SYDNEY","NSW","2001","31390","Non-financial"
