"Event","Media ID","Name","Business Name","Return Type","Address Line 1","Address Line 2","Suburb","State","Postcode","Total Amount"
"2004 Federal Election","137","Midcoast Observer","Regional Publishers Pty Ltd","Publisher","Po Box 256","","WEST KEMPSEY","NSW","2440","2258"
"2004 Federal Election","4486","Midland Express","Elliot Midland Newspapers P/L","Publisher","PO BOX 153","","KYNETON","VIC","3444","7833"
"2004 Federal Election","4061","Midland Kalamunda Reporter Community","Midland Kalamunda Reporter/Comm Newspaper Group","Publisher","PO Box 352","","MIDLAND PRIVATE BOXES","WA","6936","12586"
"2004 Federal Election","4227","Midstate Observer","Regional Publishers","Publisher","PO Box 321","","ORANGE","NSW","2800","2918"
"2004 Federal Election","4765","Midwest Times","Midwest Times","Publisher","PO Box 2391","","GERALDTON","WA","6530","6462"
"2004 Federal Election","5288","Mildura Independent Star","","Publisher","Po Box 2181","","MILDURA PRIVATE BOXES","VIC","3502","0"
"2004 Federal Election","338","Mildura Midweek","Sunraysia Newspaper Services Pty Ltd","Publisher","PO Box 5047","","MILDURA PRIVATE BOXES","VIC","3502","1030"
"2004 Federal Election","4902","Mission Today","Catholic Mission","Publisher","PO Box 1061","","CHATSWOOD","NSW","2067","0"
"2004 Federal Election","5280","Mix 101 HOFM","Commercial Broadcasters Pty Ltd","Broadcaster","GPO Box 542F","","HOBART GPO","TAS","7001","0"
"2004 Federal Election","5045","Mix 106.5","Commonwealth Broadcasting","Broadcaster","3 Byfield St","","NORTH RYDE","NSW","2113","36720"
"2004 Federal Election","4217","Mix102.3","5AD Broadcasting Company Pty Ltd","Broadcaster","PO Box 5","","NORTH ADELAIDE","SA","5006","17259"
"2004 Federal Election","4326","Mixx FM","Ace Radio Broadcasters","Broadcaster","PO Box 606","","HORSHAM","VIC","3400","6138"
"2004 Federal Election","5093","Mixx FM","Ace Radio Broadcasters Pty Ltd","Broadcaster","61 Brown Street","","HAMILTON","VIC","3300","1425"
"2004 Federal Election","4920","Moe and Narracan News","Latrobe Valley Express Partnership","Publisher","PO Box 536","","MORWELL","VIC","3840","2744"
"2004 Federal Election","4583","Monash Journal","Fairfax Community Newspapers","Publisher","PO Box 318","","DANDENONG","VIC","3175","3899"
"2004 Federal Election","5209","Moonee Valley Community News","Fairfax Community Newspapers","Publisher","PO Box 318","","DANDENONG","VIC","3175","579"
"2004 Federal Election","5005","Moonee Valley Leader","Leader Community Newspapers","Publisher","PO Box 185","","BLACKBURN","VIC","3130","1930"
"2004 Federal Election","4147","Moorabbin Leader","Leader Community Newspapers","Publisher","Po Box 185","","BLACKBURN","VIC","3130","2148"
"2004 Federal Election","4144","Mordialloc Chelsea Leader","Leader Community Newspapers","Publisher","Po Box 185","","BLACKBURN","VIC","3130","764"
"2004 Federal Election","5211","Moreland Community News","Fairfax Community News","Publisher","PO Box 318","","DANDENONG","VIC","3175","132"
"2004 Federal Election","5007","Moreland Leader","Leader Community Newspapers","Publisher","PO Box 185","","BLACKBURN","VIC","3130","804"
"2004 Federal Election","342","Mornington & Southern Peninsula Mail","Independent News Pty Ltd","Publisher","PO Box 320","","HASTINGS","VIC","3915","1127"
"2004 Federal Election","1685","Mornington Peninsula Leader","Leader Newspaper Group","Publisher","PO Box 185","","BLACKBURN","VIC","3130","13388"
"2004 Federal Election","5269","Motor Traders Association Journal","Motor Traders Association of NSW","Publisher","Locked Bag 5012","","DARLINGHURST","NSW","2010","0"
"2004 Federal Election","2840","Mt Buller Stirling News","North East Newspapers Pty Ltd","Publisher","PO Box 221","","WANGARATTA","VIC","3677","0"
"2004 Federal Election","888","MTN","Win Television Griffith Pty Ltd","Broadcaster","Locked Bag 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","5019"
"2004 Federal Election","155","Mudgee Guardian & Gulgong Advertiser","Cudgegong Newspapers Pty Ltd","Publisher","PO Box 255","","MUDGEE","NSW","2850","1954"
"2004 Federal Election","502","Murray Valley Standard","Bridge Printing Office Pty Ltd","Publisher","PO Box 244","","MURRAY BRIDGE","SA","5253","1802"
"2004 Federal Election","157","Muswellbrook Chronicle","Regional Publishers Pty Ltd","Publisher","PO Box 75","","MUSWELLBROOK","NSW","2333","0"
"2004 Federal Election","5202","MVH-FM 92.5","MVH-FM","Broadcaster","PO Box 137","","MOSS VALE","NSW","2577","0"
"2004 Federal Election","4504","Myall Coast Nota","Rural Press","Publisher","2/24 Wanya Road","","TEA GARDENS","NSW","2324","6400"
"2004 Federal Election","5094","Nambour Chronicle","Sunshine Coast Newspaper Company","Publisher","45 Currie St","","NAMBOUR","QLD","4560","547"
"2004 Federal Election","127","Namoi Valley Independent","Gunnedah Publishing Company Pty Ltd","Publisher","PO Box 483","","GUNNEDAH","NSW","2380","2353"
"2004 Federal Election","1168","Narooma News","Rural Press Pty Ltd","Publisher","159 Bells Line of Road","","NORTH RICHMOND","NSW","2754","3571"
"2004 Federal Election","4177","Narrandera Argus","Narrandera Argus Pty Ltd","Publisher","167 East Street","","NARRANDERA","NSW","2700","880"
"2004 Federal Election","4972","National Building News","Westroyal P/L","Publisher","PO Box 1066","","WEST PERTH PRIVATE BOXES","WA","6872","0"
"2004 Federal Election","5182","National Geographic Channel","Foxtel","Broadcaster","Wharf 8","","PYRMONT","NSW","2009","25059"
"2004 Federal Election","5347","National Geographic Channel","Telstra Pay TV Pty Ltd","Broadcaster","L6, 151 Clarence Street","","SYDNEY","NSW","2000","25059"
"2004 Federal Election","3361","National Healthcare Journal","All Results Consultancy Pty Ltd","Publisher","Suite 4","758 Darling St","ROZELLE","NSW","2039","0"
"2004 Federal Election","5121","National Indigenous Radio Service","National Indigenous Radio Service","Broadcaster","PO Box 236","","FORTITUDE VALLEY","QLD","4006","0"
"2004 Federal Election","2348","National Market Place News","Jolbar Pty Ltd","Publisher","16 Napier Street","","ST ARNAUD","VIC","3478","0"
"2004 Federal Election","5312","National News","","Publisher","Level 5, 30 Carrington St","","SYDNEY","NSW","2000","0"
"2004 Federal Election","4422","NBN 3","NBN Ltd","Broadcaster","PO Box 750L","","NEWCASTLE","NSW","2300","693883"
"2004 Federal Election","4016","NEN","Prime Television Northern Pty Ltd","Broadcaster","PO Box 878","","DICKSON","ACT","2602","594690"
"2004 Federal Election","5301","Nerribee Star","South East Newspapers","Publisher","1/88-96 Western Ave","","TULLAMARINE","VIC","3043","0"
"2004 Federal Election","4970","New Choices for Retirement","The Mature Travellers Club Pty Ltd","Publisher","PO Box 79","","LINDFIELD","NSW","2070","0"
"2004 Federal Election","5313","New Internationalist Magazine","New Internationalist Publications Pty Ltd","Publisher","28 Austin St","","ADELAIDE","SA","5000","0"
"2004 Federal Election","2463","New Vegetarian & Natural Health","Australian Vegetarian Soc/Natural Health Society of Aust","Publisher","Suite 28, 541 High Street","","PENRITH","NSW","2750","0"
"2004 Federal Election","4299","NEW-10","Network Ten (Perth) Pty Ltd","Broadcaster","1 Saunders St","","PYRMONT","NSW","2009","707663"
"2004 Federal Election","5206","Newcastle Herald","Newcastle Newspapers","Publisher","PO Box 510","","NEWCASTLE","NSW","2300","35722"
"2004 Federal Election","5065","Newcastle Star","Newcastle Star","Publisher","PO Box 3250","","HAMILTON","NSW","2303","3910"
"2004 Federal Election","5048","NEWFM 105.3","Newcastle FM Pty Ltd","Broadcaster","PO Box 105","","HUNTER REGION MAIL CENTRE","NSW","2310","21378"
"2004 Federal Election","479","News Review Messenger","Messenger Press Pty Ltd","Publisher","1 Baynes Place","","PORT ADELAIDE","SA","5015","25536"
"2004 Federal Election","1996","News Weekly","Freedom Publishing Co","Publisher","582 Queensberry Street","","NORTH MELBOURNE","VIC","3051","0"
"2004 Federal Election","2464","Nexus New Times Magazine","Nexus Magazine Pty Ltd","Publisher","Po Box 30","","MAPLETON","QLD","4560","0"
"2004 Federal Election","1313","Nichigo Press","Nichigo Press Pty Ltd","Publisher","PO Box A2612","","SYDNEY SOUTH","NSW","1235","0"
"2004 Federal Election","5099","NineFourOne FM (Living Sound Radio)","Living Sound Broadcasters","Broadcaster","PO Box 7","","CONISTON","NSW","2500","500"
"2004 Federal Election","4962","Noosa News","","Publisher","Po Box 669","","NOOSA HEADS","QLD","4567","4967"
"2004 Federal Election","82","North Coast Advocate","Northern Star Ltd","Publisher","PO Box 423","","LISMORE","NSW","2480","10346"
"2004 Federal Election","5022","North Coast Times","Community Newspaper Group","Publisher","26 Prndiville Drive","","WANGARA","WA","6065","1946"
"2004 Federal Election","5268","North East Farmer","North East Newspapers Pty Ltd","Publisher","PO Box 221","","WANGARATTA PRIVATE BOXES","VIC","3676","0"
"2004 Federal Election","579","North Eastern Advertiser","Kanted P/L","Publisher","Po Box 195","","SCOTTSDALE","TAS","7260","8996"
"2004 Federal Election","128","North West Magazine","North West Magazine Partnership","Publisher","Po Box 483","","GUNNEDAH","NSW","2380","0"
"2004 Federal Election","383","North West News","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","9207"
"2004 Federal Election","5363","North West Telegraph","North West Telegraph","Publisher","Shop 26B South Hedland Shopping Cent","","SOUTH HEDLAND","WA","6722","0"
"2004 Federal Election","1552","Northcote Leader","Leader Newspaper Group","Publisher","PO Box 155","","NORTHCOTE","VIC","3070","1615"
"2004 Federal Election","65","Northern Beaches Weekender","Torch Publishing Company Pty Ltd","Publisher","Po Box 113","","BANKSTOWN","NSW","1885","8283"
"2004 Federal Election","191","Northern Daily Leader","Regional Publishers Pty Ltd","Publisher","PO Box 525","","TAMWORTH","NSW","2340","14655"
"2004 Federal Election","5013","Northern Downs News","Northern Downs News","Publisher","PO Box 40","","TOOWOOMBA","QLD","4350","0"
"2004 Federal Election","4965","Northern Leader","Westonprint Pty Ltd","Publisher","PO Box 152","","KIAMA","NSW","2533","8735"
"2004 Federal Election","5234","Northern News","Fairfax Community Newspapers","Publisher","Private Locked Bag 7010","","LIVERPOOL BC","NSW","1871","5865"
"2004 Federal Election","384","Northern News","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","8378"
"2004 Federal Election","587","Northern Territory News","Nationwide News Pty Ltd","Publisher","GPO Box 1300","","DARWIN GPO PRIVATE BOXES","NT","0801","54958"
"2004 Federal Election","1216","Northern Times","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","21303"
"2004 Federal Election","386","Northside Chronicle","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","7994"
"2004 Federal Election","2465","Nova","Sunrise Publishers","Publisher","60 Lindsay Street","","PERTH","WA","6000","1500"
"2004 Federal Election","4410","Nova 969 FM","DMG Radio Australia","Broadcaster","Locked Bag 2009","","BROADWAY","NSW","2007","39942"
"2004 Federal Election","1338","Novosti","Foreign Language Press Pty Ltd","Publisher","1-9 Glebe Point","","GLEBE","NSW","2037","0"
"2004 Federal Election","3163","NSW Dairy Digest","NSW Dairy Digest","Publisher","8 Farm Road","","MULGOA","NSW","2745","0"
"2004 Federal Election","932","NTD","Territory Television Pty Ltd","Broadcaster","PO Box 1764","","DARWIN GPO PRIVATE BOXES","NT","0801","118426"
"2004 Federal Election","349","Numurkah Leader","Numurkah Leader","Publisher","PO Box 155","","NUMURKAH","VIC","3636","5196"
"2004 Federal Election","916","NWS CHAN 9","Southern Television Corporation Pty Ltd","Broadcaster","202 Tynte Street","Po Box 9","NORTH ADELAIDE","SA","5006","794290"
"2004 Federal Election","5289","NXFM 106.9","Radio Newcastle P/L","Broadcaster","PO Box 97","","CHARLESTOWN","NSW","2290","46101"
"2004 Federal Election","5100","Oak FM 101.3","Wangaratta Community Radio Association Inc","Broadcaster","PO Box 605","","WANGARATTA","VIC","3677","0"
"2004 Federal Election","4974","Open Road","NRMA Open Road Pty Ltd","Publisher","388 George Street","","SYDNEY","NSW","2000","0"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","101 Miller St","","NORTH SYDNEY PRIVATE BOXES","NSW","2059","415980"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","PO Box 9","","PAKENHAM","VIC","3810","17393"
"2004 Federal Election","5232","Palm Island Aboriginal Council","Palm Island Aboriginal Council","Broadcaster","Main Street","","PALM ISLAND","QLD","4816","0"
"2004 Federal Election","1770","Palmerston Post","Palmerston Town Council","Publisher","PO Box 1","","PALMERSTON PRIVATE BOXES","NT","0831","0"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","13 Kildare Road","","BLACKTOWN","NSW","2148","23227"
"2004 Federal Election","70","Penrith City Star","Fairfax Community Newspapers Pty Ltd","Publisher","518-532 High Street","","PENRITH","NSW","2750","3130"
"2004 Federal Election","1745","Perth Weekly","ALW Pty Ltd","Publisher","GPO Box H558","","PERTH GPO BOXES E201-H629","WA","6841","0"
"2004 Federal Election","3544","Pharmacy 2000","Pharmacy 2000 Pty Ltd","Publisher","PO Box 310","","WILLOUGHBY","NSW","2068","0"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","6668"
"2004 Federal Election","3083","Plumbing & Mechanical Connection","Connection Magazines Lty Ltd","Publisher","Unit 12, 21 Howleys Road","","NOTTING HILL","VIC","3168","0"
"2004 Federal Election","444","Port Douglas and Mossman Gazette","Duvir Holdings Pty Ltd","Publisher","L2, 30 Macrossan Street","","PORT DOUGLAS","QLD","4871","1345"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","PO Box 1672","","PORT LINCOLN","SA","5606","2146"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","16-20 Milton Crt","","PORT MACQUARIE","NSW","2444","1442"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","16-20 Milton Crt","","PORT MACQUARIE","NSW","2444","2812"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","PO Box 180","","NELSON BAY","NSW","2315","13280"
"2004 Federal Election","5155","Port Stephens FM 2 PSR","Port Stephens FM 100.9","Broadcaster","PO Box 22","","SALAMANDER BAY","NSW","2317","0"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","BOX 416","","HAMILTON","VIC","3300","3444"
"2004 Federal Election","481","Portside Messenger","Messenger Press Pty Ltd","Publisher","1 Baynes Place","","PORT ADELAIDE","SA","5015","7884"
"2004 Federal Election","1529","Post Newspapers","A/A","Publisher","2 Keightley Road","","SUBIACO","WA","6008","18060"
"2004 Federal Election","3982","Post Weekly","Regional Publishers","Publisher","PO Box 152","","GOULBURN","NSW","2580","311"
"2004 Federal Election","4151","Preston Leader","Leader Community Newspapers","Publisher","PO BOX 185","","BLACKBURN","VIC","3130","1615"
"2004 Federal Election","4726","Professional Voice","Australian Education Union - Vic Branch","Publisher","PO 363","","ABBOTSFORD","VIC","3067","0"
"2004 Federal Election","4149","Progress Leader","Leader Community Newspapers","Publisher","Po Box 185","","BLACKBURN","VIC","3130","18786"
"2004 Federal Election","5142","PTV","Prime Television (Victoria) Pty Ltd","Broadcaster","PO Box 878","","DICKSON","ACT","2602","11915"
"2004 Federal Election","4988","Purchasing and Supply","Informa Australia Pty Ltd","Publisher","Po Box Q1439","","QUEEN VICTORIA BUILDING PO","NSW","2000","0"
"2004 Federal Election","1693","Pyrenees Advocate","Waterloo Ink Pty Ltd","Publisher","66 Neill Street","","BEAUFORT","VIC","3373","1704"
"2004 Federal Election","905","QTQ CHAN 9","Queensland Television Ltd","Broadcaster","GPO Box 72","","BRISBANE GPO PRIVATE BOXES","QLD","4001","1378288"
"2004 Federal Election","1771","Queensland Asian Business Weekly","","Publisher","Shop 11 Fortuneland Centre,","8 Duncan Street","FORTITUDE VALLEY","QLD","4006","1450"
"2004 Federal Election","3164","Queensland Dairyfarmer","Queensland Dairyfarmers Organisation","Publisher","PO Box 13061","","BRISBANE GEORGE STREET","QLD","4003","0"
"2004 Federal Election","2359","Queensland Farmer & Grazier","Rural Press Ltd","Publisher","Po Box 586","","CLEVELAND","QLD","4163","0"
"2004 Federal Election","4338","Radio 2NUR FM","University Of Newcastle","Broadcaster","University Drive","","CALLAGHAN","NSW","2308","3520"
"2004 Federal Election","4150","Radio 2UE 954","Radio 2UE Sydney Pty Ltd","Broadcaster","PO Box 954","","ST LEONARDS","NSW","2065","109692"
"2004 Federal Election","5317","Radio 4MW","Torres Strait Islanders Media Association Inc","Broadcaster","PO Box 385","","THURSDAY ISLAND","QLD","4875","0"
"2004 Federal Election","5292","Radio 4YOU 98.5","Capricorn Cammunity Radio 4 You Inc","Broadcaster","Box 5035","","CENTRAL QUEENSLAND MAIL CENTRE","QLD","4702","0"
"2004 Federal Election","797","Radio 5AA (5-Double-A)","Festival City Broadcasters Ltd","Broadcaster","GPO Box 5AA","","ADELAIDE GPO PRIVATE BOXES","SA","5001","58570"
"2004 Federal Election","5219","Radio Adelaide","Radio Adelaide","Broadcaster","228 North Terrace","","ADELAIDE","SA","5000","0"
"2004 Federal Election","4262","Radio AM1611 Albany","Lost The Plot Productions/Pirate Broadcasters Pty Ltd","Broadcaster","PO Box 1994","","ALBANY PRIVATE BOXES","WA","6331","0"
"2004 Federal Election","5156","Radio Eastern FM 98.1","Eastern Community Broadcasters","Broadcaster","Locked Bag 981","","CROYDON","VIC","3136","0"
"2004 Federal Election","4154","Radio ENA","International Commercial Narrowcasting Pty Ltd","Broadcaster","225 Waymouth St","","ADELAIDE","SA","5000","1303"
"2004 Federal Election","5337","Radio Lord Howe Island","Lord Howe Island Radio Station Assoc Inc","Broadcaster","c/- PO Lord Howe Island","","LORD HOWE ISLAND","NSW","2898","0"
"2004 Federal Election","4093","Radio TAB (4TAB)","Broadcasting Station 4IP Pty Ltd","Broadcaster","PO Box 275","","ALBION","QLD","4010","0"
"2004 Federal Election","5170","RED FM","Redwave Media Pty Ltd","Broadcaster","PO Box 38","","LEEDERVILLE PRIVATE BOXES 1-125","WA","6902","1564"
"2004 Federal Election","5146","Redcliffe Herald","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","6126"
"2004 Federal Election","3548","Retail Pharmacy","Retail Media Pty Ltd","Publisher","Level 1, 410 Church St","","NORTH PARRAMATTA","NSW","2151","0"
"2004 Federal Election","4983","Rhema FM 106.5 Manning Great Lakes","Manning Great Lakes Christian Broadcasters","Broadcaster","PO Box 246","","WINGHAM","NSW","2429","0"
"2004 Federal Election","90","Richmond River Express","Northern Star Ltd","Publisher","PO Box 423","","LISMORE","NSW","2480","874"
"2004 Federal Election","5117","River94.9 (4QFM)","Star Broadcasting Network","Broadcaster","PO Box 7","","IPSWICH","QLD","4305","3484"
"2004 Federal Election","5118","Riverina Leader","Riverina Media Group","Publisher","PO Box 35","","WAGGA WAGGA","NSW","2650","1680"
"2004 Federal Election","312","Riverine Herald","Riverine Herald Pty Ltd","Publisher","PO Box 21","","ECHUCA","VIC","3564","7435"
"2004 Federal Election","3157","Rotary Down Under","Rotary Down Under Inc","Publisher","Po Box 779","","PARRAMATTA PRIVATE BOXES","NSW","2124","0"
"2004 Federal Election","4998","Roxby Downs Sun","","Publisher","Po Box 64","","PORT AUGUSTA","SA","5700","439"
"2004 Federal Election","3998","RTQ","WIN Television Qld Pty Ltd","Broadcaster","Locked Bag 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","666177"
"2004 Federal Election","5015","RTR 94.9 FM","High Country Christian Broadcasters","Broadcaster","PO Box 129","","CORRYONG","VIC","3707","0"
"2004 Federal Election","4439","RTR FM","Arts Radio Ltd","Broadcaster","PO Box 949","","NEDLANDS PRIVATE BOXES","WA","6909","1514"
"2004 Federal Election","4368","Rural Weekly","Toowoomba Newspapers P/L","Publisher","PO BOX 40","","TOOWOOMBA","QLD","4350","2148"
"2004 Federal Election","1025","SA-FM","Austerio Ltd","Broadcaster","128 Greenhill Road","","UNLEY","SA","5061","116753"
"2004 Federal Election","2955","Sapphire Sun","Rural Press","Publisher","Po Box 11","","MERIMBULA","NSW","2548","0"
"2004 Federal Election","4372","SAS7","Channel 7 Adelaide Pty Ltd","Broadcaster","PO Box 777","","PYRMONT","NSW","2009","610319"
"2004 Federal Election","4556","SBS Radio","Special Broadcasting Service Corporation","Broadcaster","14 Herbert St","","ARTARMON","NSW","2064","8070"
"2004 Federal Election","885","SBS TV","Special Broadcasting Service Corporation","Broadcaster","14 Herbert St","","ARTARMON","NSW","2064","499683"
"2004 Federal Election","5264","Screen Education","Australian Teachers of Media","Publisher","PO Box 2211","","ST KILDA WEST","VIC","3182","0"
"2004 Federal Election","5205","SEA FM 101.3","Central Coast Radio Pty Ltd","Broadcaster","49 Henry Parry Drive","","GOSFORD","NSW","2250","46747"
"2004 Federal Election","5150","Sea FM 101.5 Rockhampton","Rackhampton Broadcasting Company","Broadcaster","PO Box 159","","ROCKHAMPTON","QLD","4700","10868"
"2004 Federal Election","5149","Sea FM 95.1 Gladstone","Rockhampton Broadcasting Company","Broadcaster","PO Box 159","","ROCKHAMPTON","QLD","4700","5126"
"2004 Federal Election","5107","SES/RTS","Win Television SA Pty Ltd","Broadcaster","Locked Bag 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","59264"
"2004 Federal Election","4106","Seven Central","Southern Cross Broadcasting","Broadcaster","GPO Box 620","","PARAP","NT","0820","183856"
"2004 Federal Election","4105","Seven Darwin","Southern Cross Broadcasting","Broadcaster","PO Box 620","","PARAP","NT","0820","66644"
"2004 Federal Election","1494","Seymour Telegraph","Seymour Telegraph","Publisher","PO Box 142","","SEYMOUR","VIC","3660","5328"
"2004 Federal Election","1705","Shepparton News","Shepparton Newspapers Pty Ltd","Publisher","PO Box 204","","SHEPPARTON PRIVATE BOXES","VIC","3632","0"
"2004 Federal Election","4989","Shipping Australia","Informa Australia Pty Ltd","Publisher","PO Box Q1439","","QUEEN VICTORIA BUILDING PO","NSW","2000","0"
"2004 Federal Election","1654","Shoalhaven & Nowra News","Rural Press Pty Ltd","Publisher","PO Box 518","","NOWRA","NSW","2541","5532"
"2004 Federal Election","4077","Sing Tao Newspapers Pty Ltd","(Sing Tao Jih Pao)","Publisher","Level 1","545 Kent St","SYDNEY","NSW","2000","25996"
"2004 Federal Election","934","Sky Channel","Sky Channel Pty Ltd","Broadcaster","79 Frenchs Forest Road","","FRENCHS FOREST","NSW","2086","0"
"2004 Federal Election","5186","Sky News","Foxtel","Broadcaster","Wharf 8","","PYRMONT","NSW","2009","20464"
"2004 Federal Election","5348","Sky News","Telstra Pay TC Pty Ltd","Broadcaster","L6, 151 Clarence Street","","SYDNEY","NSW","2000","20464"
"2004 Federal Election","4416","Snow FM (2SKI)","Radio Snowy Mountains Pty Ltd t/a 97.7 Snow FM","Broadcaster","PO Box 651","","COOMA","NSW","2630","11388"
"2004 Federal Election","4435","Snowy River Mail","Snowy River Mail","Publisher","PO BOX 272","","ORBOST","VIC","3888","1669"
"2004 Federal Election","449","South Burnett Times","South Burnett Times Pty Ltd","Publisher","PO Box 312","","KINGAROY","QLD","4610","8788"
"2004 Federal Election","172","South Coast Register","Regional Publishers Pty Ltd","Publisher","PO Box 518","","NOWRA","NSW","2541","9689"
"2004 Federal Election","5147","South East Advertiser","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","34479"
"2004 Federal Election","329","South Gippsland Sentinal - Times","South Eastern Newspapers Pty Ltd","Publisher","60 McCartin Street","","LEONGATHA","VIC","3953","13609"
"2004 Federal Election","392","South West News","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","6793"
"2004 Federal Election","5078","Southern Bay News","Queensland Community Newspapers Pty Ltd","Publisher","PO Box 191","","CLEVELAND","QLD","4163","235"
"2004 Federal Election","1578","Southern Courier","FPC Courier Newspapers","Publisher","170 Bourke Road","","ALEXANDRIA","NSW","2015","31892"
"2004 Federal Election","2739","Southern Cross Newspaper","Anglican Media - Sydney","Publisher","PO Box 118","","NORTHBRIDGE","NSW","2063","980"
"2004 Federal Election","4735","Southern Farmer","Southern Farmer","Publisher","PO Box 1523","","SURREY HILLS","VIC","3127","0"
"2004 Federal Election","5018","Southern Gazette","Community News Group","Publisher","PO Box 4309","","MYAREE","WA","6154","9607"
"2004 Federal Election","1052","Southern Highland News","Regional Publishers Pty Ltd","Publisher","PO Box 109","","BOWRAL","NSW","2576","5500"
"2004 Federal Election","1218","Southern News","Quest Community Newspapers","Publisher","PO Box 104","","ALDERLEY","QLD","4051","18691"
"2004 Federal Election","1219","Southern Star","Quest Newspaper Group","Publisher","PO Box 104","","ALDERLEY","QLD","4051","24090"
"2004 Federal Election","482","Southern Times Messenger","Messenger Press Pty Ltd","Publisher","1 Baynes Place","","PORT ADELAIDE","SA","5015","19336"
"2004 Federal Election","1343","Spanish Herald","Foreign Language and Press Pty Ltd","Publisher","1-9 Glebe Point Road","","GLEBE","NSW","2037","1764"
"2004 Federal Election","5173","Spirit Network","Redwave Media Pty Ltd","Broadcaster","PO Box 38","","LEEDERVILLE PRIVATE BOXES 1-125","WA","6902","1298"
"2004 Federal Election","5172","Spirit Network Broome","Redwave Media Pty Ltd","Broadcaster","PO Box 38","","LEEDERVILLE PRIVATE BOXES 1-125","WA","6902","1558"
"2004 Federal Election","5199","Spirit Network- Karratha","Redwave Media Pty Ltd","Broadcaster","PO Box 38","","LEEDERVILLE PRIVATE BOXES 1-125","WA","6902","1656"
"2004 Federal Election","5171","Spirit Network- Port Hedland","Redwave Media Pty Ltd","Broadcaster","Po Box 38","","LEEDERVILLE PRIVATE BOXES 1-125","WA","6902","5757"
"2004 Federal Election","5267","Sporting Shooter","","Publisher","GPO Box 606","","SYDNEY GPO PRIVATE BOXES","NSW","2001","0"
"2004 Federal Election","4122","Springvale Dandenong Leader","Leader Community Newspapers","Publisher","PO Box 185","","BLACKBURN","VIC","3130","875"
"2004 Federal Election","5300","St Albans Star","South East Newspapers","Publisher","1/ 88-96 Western Ave","","TULLAMARINE","VIC","3043","1487"
"2004 Federal Election","5053","St Marys Mt Druitt Star","Fairfax Community Newspapers","Publisher","518-532 High Street","","PENRITH","NSW","2750","3130"
"2004 Federal Election","483","Standard Messenger","Messenger Press Pty Ltd","Publisher","1 Baynes Place","","PORT ADELAIDE","SA","5015","9453"
"2004 Federal Election","5283","Star FM range 105.9 FM","Midcoast Broadcasters Pty Ltd","Broadcaster","PO Box 116","","PORT MACQUARIE","NSW","2444","14503"
"2004 Federal Election","4178","StarFM Orange 105.9","Macquarie Regional Radioworks Pty Ltd","Broadcaster","PO Box 1785","","ORANGE","NSW","2800","4309"
"2004 Federal Election","361","Stawell Times - News","Regional Publishing (Western VIC P/L)","Publisher","58 Main Street","","STAWELL","VIC","3380","1800"
"2004 Federal Election","5328","Stirling Times","Community Newspaper Corporation","Publisher","PO Box 256","","OSBORNE PARK PRIVATE BOXES 1-500","WA","6917","24506"
"2004 Federal Election","1472","Stock Journal","Stock Journal Publishers Pty Ltd","Publisher","GPO Box 2249","","ADELAIDE GPO PRIVATE BOXES","SA","5001","2537"
"2004 Federal Election","4153","Stonnington Leader","Leader Community Newspapers","Publisher","Po Box 185","","BLACKBURN","VIC","3130","7130"
"2004 Federal Election","4500","STQ","Seven Queensland","Broadcaster","PO Box 296","","MAROOCHYDORE","QLD","4558","731871"
"2004 Federal Election","5246","Strengthening Goldfields Community Radio Inc","Strenghtening Goldfields Community Radio Inc","Broadcaster","PO Box 123","","MARYBOROUGH","VIC","3465","0"
"2004 Federal Election","5333","Strike Publications","Strike Publications Pty Ltd","Publisher","Po Box 27","","AMBERLEY","QLD","4306","0"
"2004 Federal Election","3996","STV","WIN Television Pty Ltd","Broadcaster","Locked Bag 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","26313"
