"Event","Media ID","Name","Business Name","Return Type","Advertiser","Advertiser Type","Date Run","Amount"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","766"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","911"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","925"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","1025"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","1414"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","1481"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","1667"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","2325"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","2535"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","4155"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","6260"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","0"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","692"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","882"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","1172"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","1391"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","1404"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","1842"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","27/09/2004","2228"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","0"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","952"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","2228"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","2254"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","2565"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","2781"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","28/09/2004","2940"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","0"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","882"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1391"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1404"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1820"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1882"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1898"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","29/09/2004","1898"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","0"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","606"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","882"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","949"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","1404"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","1628"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","2325"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","2816"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","30/09/2004","3194"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","660"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","860"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","882"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","916"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","1212"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","2026"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","01/10/2004","2208"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","430"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","1025"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","1323"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","1599"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","1764"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","1793"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","2416"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","2924"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","3087"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","3483"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","4356"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","4653"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","6260"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","37"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","1508"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","1652"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","1824"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","1896"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","2218"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","2341"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","3594"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","4004"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","4116"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","4924"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","5671"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","6200"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","04/10/2004","8504"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","1412"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","1536"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","1896"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","2154"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","2341"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","2642"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","3842"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","4116"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","5176"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","6129"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","7734"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","8312"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","05/10/2004","8504"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","1805"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","2020"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","2380"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","2782"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","2901"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","3279"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","4590"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","5688"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","7489"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","7822"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","7969"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","10758"
"2004 Federal Election","2301","Optus Vision","Optus Vision","Broadcaster","Australian Labor Party (ALP)","Party","06/10/2004","16870"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Democrats Victorian Division","Party","06/10/2004","277"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","15/09/2004","338"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","22/09/2004","338"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","29/09/2004","877"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","06/10/2004","46"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","06/10/2004","46"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","06/10/2004","877"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","06/10/2004","1031"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Democratic Labor Party (DLP) of Australia","Party","06/10/2004","1251"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","EMANUEL, Howard Stewart","Candidate","15/09/2004","288"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","EMANUEL, Howard Stewart","Candidate","22/09/2004","288"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","EMANUEL, Howard Stewart","Candidate","30/09/2004","288"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Family First Party","Party","06/10/2004","277"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","08/09/2004","635"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","22/09/2004","529"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","22/09/2004","2153"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","29/09/2004","837"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","06/10/2004","743"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","06/10/2004","1435"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","06/10/2004","2607"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","National Party of Australia - Victoria","Party","08/09/2004","770"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","National Party of Australia - Victoria","Party","22/09/2004","770"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","National Party of Australia - Victoria","Party","06/10/2004","346"
"2004 Federal Election","265","Pakenham - Berwick Gazette","South Eastern Independant Newspapers Pty Ltd","Publisher","National Party of Australia - Victoria","Party","06/10/2004","346"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","28/09/2004","894"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","29/09/2004","894"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","29/09/2004","1024"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","05/10/2004","894"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","894"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","894"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","1024"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","3130"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","08/09/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","15/09/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","22/09/2004","3130"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","29/09/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","05/10/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","06/10/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Liberal Party of Australia, NSW Division","Party","06/10/2004","1565"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Non-Custodial Parents Party","Party","22/09/2004","353"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Non-Custodial Parents Party","Party","29/09/2004","353"
"2004 Federal Election","3985","Parramatta Sun","Fairfax Community Newspapers","Publisher","Non-Custodial Parents Party","Party","06/10/2004","353"
"2004 Federal Election","70","Penrith City Star","Fairfax Community Newspapers Pty Ltd","Publisher","Liberal Party of Australia, NSW Division","Party","21/09/2004","3130"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Democrats Queensland Division","Party","25/08/2004","42"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Democrats Queensland Division","Party","01/09/2004","42"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Democrats Queensland Division","Party","15/09/2004","42"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Democrats Queensland Division","Party","22/09/2004","42"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Democrats Queensland Division","Party","06/10/2004","42"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Australian Labor Party (State of Queensland)","Party","06/10/2004","1037"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Clem Jones","Third Party","06/10/2004","62"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Liberal Party of Australia - Queensland Division","Party","29/09/2004","1453"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Liberal Party of Australia - Queensland Division","Party","06/10/2004","545"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Liberal Party of Australia - Queensland Division","Party","06/10/2004","2769"
"2004 Federal Election","1217","Pine Rivers Press","Quest Community Newspapers","Publisher","Toadshow Pty Ltd","Third Party","08/09/2004","592"
"2004 Federal Election","444","Port Douglas and Mossman Gazette","Duvir Holdings Pty Ltd","Publisher","Liberal Party of Australia - Queensland Division","Party","30/09/2004","623"
"2004 Federal Election","444","Port Douglas and Mossman Gazette","Duvir Holdings Pty Ltd","Publisher","Liberal Party of Australia - Queensland Division","Party","07/10/2004","623"
"2004 Federal Election","444","Port Douglas and Mossman Gazette","Duvir Holdings Pty Ltd","Publisher","SACKLEY, Jeanette Ivy","Candidate","09/09/2004","99"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Australian Democrats Queensland Division","Party","05/10/2004","116"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Australian Greens","Party","05/10/2004","670"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Liberal Party of Australia (S.A. Division)","Party","23/09/2004","189"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Liberal Party of Australia (S.A. Division)","Party","07/10/2004","189"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Liberal Party of Australia (S.A. Division)","Party","07/10/2004","245"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Pauline Hanson's One Nation","Party","16/09/2004","173"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Pauline Hanson's One Nation","Party","07/10/2004","173"
"2004 Federal Election","493","Port Lincoln Times","Port Lincoln Times Pty Ltd","Publisher","Pauline Hanson's One Nation","Party","07/10/2004","391"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","21/09/2004","178"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","29/09/2004","178"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","05/10/2004","178"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","National Party of Australia (Queensland)","Party","29/09/2004","311"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","National Party of Australia (Queensland)","Party","05/10/2004","461"
"2004 Federal Election","181","Port Macquarie Express","Regional Publishers Pty Ltd","Publisher","New Country Party","Party","05/10/2004","136"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","24/09/2004","157"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","01/10/2004","157"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","Australian Labor Party (N.S.W. Branch)","Party","08/10/2004","157"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","National Party of Australia - N.S.W.","Party","01/10/2004","239"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","National Party of Australia - N.S.W.","Party","08/10/2004","390"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","National Party of Australia - N.S.W.","Party","08/10/2004","531"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","New Country Party","Party","01/10/2004","336"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","New Country Party","Party","08/10/2004","559"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","Pauline Hanson's One Nation","Party","08/10/2004","126"
"2004 Federal Election","182","Port Macquarie News","Regional Publishers Pty Ltd","Publisher","The Fishing Party","Party","08/10/2004","160"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","30/09/2004","1272"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Australian Labor Party (Victorian Branch)","Party","07/10/2004","2545"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Christian Democratic Party (Fred Nile Group)","Party","07/10/2004","689"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","defeathoward.com","Third Party","30/09/2004","620"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Ken Muir","Third Party","30/09/2004","241"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Ken Muir","Third Party","07/10/2004","241"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","30/09/2004","2545"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Liberal Party of Australia (Victorian Division)","Party","07/10/2004","2545"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","National Union of Students Inc","Third Party","07/10/2004","2009"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Now We the People","Third Party","09/09/2004","430"
"2004 Federal Election","183","Port Stephens Examiner","Port Stephens Publishers Pty Ltd","Publisher","Pauline Hanson's One Nation","Party","07/10/2004","143"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","10/09/2004","184"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","24/09/2004","184"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","01/10/2004","163"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","01/10/2004","184"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","04/10/2004","102"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","06/10/2004","102"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Australian Labor Party (Victorian Branch)","Party","08/10/2004","102"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Family First Party","Party","01/10/2004","163"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Family First Party","Party","08/10/2004","306"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","HAWKER, David Peter Maxwell","Candidate","29/09/2004","308"
"2004 Federal Election","4369","Portland Observer","Spectator  Observer Partnership","Publisher","Liberal Party of Australia (Victorian Division)","Party","01/10/2004","286"
