"Event","Return Type (Candidate/Senate Group)","Name","Party ID","Party Name","Electorate Name","Electorate State","Nil Return","Amendment No","Total Gift Value","Number Of Donors","Total Electoral Expenditure","Discretionary Benefits Received"
"2016 Federal election","Candidate","KINGSTON, David Graham","211","Liberal National Party of Queensland","Lilley","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KIRK, Daniel Robbie","30410","Centre Alliance","Hindmarsh","SA","N","0","5258","2","0","0"
"2016 Federal election","Candidate","KIRKNESS, Daniel","30425","Australian Motoring Enthusiast Party","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KLASS, Graeme Michael","183","Liberal Democratic Party","Western Australia","WA","N","0","0","0","1510","0"
"2016 Federal election","Candidate","KLEIN, Elise Jane","32","Australian Greens","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KLISARIS, Paul","51","Australian Labor Party (Victorian Branch)","Aston","VIC","N","0","14500","5","32286","0"
"2016 Federal election","Candidate","KLOMP, Stephen Joseph","29723","Australian Christians","Swan","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KLOOT, Johanna","186","Queensland Greens","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KNIGHT, David Elliot Trembearth","33968","Australian Progressives","Victoria","VIC","N","0","0","0","754","0"
"2016 Federal election","Candidate","KNIGHT, Jessica Jill","30409","Voluntary Euthanasia Party","South Australia","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KNOX, Charles Robert Bray","191","Christian Democratic Party (Fred Nile Group)","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KOLIADIS, Kyriakos","33973","Seniors United Party of Australia","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KONTELLIS, Marika","32","Australian Greens","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KOZLOW, Alexander","188","Australian Citizens Party","South Australia","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KROGER, Helen Evelyn","43","Liberal Party of Australia (Victorian Division)","Bruce","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KRUGER, Jacque","30420","Palmer United Party","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KU, Eddy Gunawan","152","Family First Party","North Sydney","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KUCINA, Stephen John","188","Australian Citizens Party","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KUERSCHNER, Judith","30425","Australian Motoring Enthusiast Party","South Australia","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KUMAR, Mohit","46","Liberal Party of Australia, NSW Division","Chifley","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KUNDE, Christian Benjamin Claude","50","Australian Labor Party (N.S.W. Branch)","Farrer","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KURYLOWICZ, Timothy Paul","50","Australian Labor Party (N.S.W. Branch)","Riverina","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","KWON, Daniel","186","Queensland Greens","Fadden","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LA BROOY, Linda Christine","152","Family First Party","Lindsay","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LACAZE, Stephen Charles","28910","Katter's Australian Party (KAP)","Oxley","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAHY, Christopher Michael","188","Australian Citizens Party","Mallee","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAKKIS, Michael Amon","","Independent","Calwell","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAMB, Susan","52","Australian Labor Party (State of Queensland)","Longman","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAMBERT, Bryan Eric","","Independent","New South Wales","NSW","N","0","0","0","1795","0"
"2016 Federal election","Candidate","LAMBIE, Jacquiline Louise","33980","Jacqui Lambie Network","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAMING, Andrew Charles","211","Liberal National Party of Queensland","Bowman","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANCASTER, Donna Michelle","32","Australian Greens","McMillan","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANDRY, Michelle Leanne","211","Liberal National Party of Queensland","Capricornia","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANE, George Hamilton","","Independent","Tasmania","TAS","N","0","0","0","106","0"
"2016 Federal election","Candidate","LANG, Daryl John","43","Liberal Party of Australia (Victorian Division)","Gorton","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANGE, Richard Iain Cameron","43","Liberal Party of Australia (Victorian Division)","Corio","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANGFIELD, Philip James","191","Christian Democratic Party (Fred Nile Group)","Riverina","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LANNING, Rebecca May","33997","Australian Sex Party","Sydney","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAPPIN, Alan James","","Independent","Indi","VIC","N","0","5960","2","10826","0"
"2016 Federal election","Candidate","LARGE, Steven Leslie","","Independent","Dawson","QLD","N","0","0","0","4539","0"
"2016 Federal election","Candidate","LARKIN, Philip Jullian","28906","Australian Federation Party","Victoria","VIC","N","0","0","0","3217","0"
"2016 Federal election","Candidate","LAUNDY, Craig Arthur Samuel","46","Liberal Party of Australia, NSW Division","Reid","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAVARCH, Linda Denise","52","Australian Labor Party (State of Queensland)","Dickson","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAVIN, Rosemary June","28769","Animal Justice Party","Aston","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAW, Robert Malcolm","","Independent","Longman","QLD","N","0","0","0","2321","0"
"2016 Federal election","Candidate","LAWLER, Ann Elizabeth","188","Australian Citizens Party","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAWRENCE, Lance Alfred","27916","Help End Marijuana Prohibition (HEMP) Party","Solomon","NT","N","0","1000","1","2254","0"
"2016 Federal election","Candidate","LAWRENCE, Michael Peter","","Independent","Corangamite","VIC","N","0","0","0","3500","0"
"2016 Federal election","Candidate","LAWRENCE, Wayne James","191","Christian Democratic Party (Fred Nile Group)","Cowper","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAWRIE, Christopher","152","Family First Party","Rankin","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAWSON, Timothy James","52","Australian Labor Party (State of Queensland)","Hinkler","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LAZARUS, Glenn Patrick","33991","Glenn Lazarus Team","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEA, Archie Sidney","191","Christian Democratic Party (Fred Nile Group)","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEADBETTER, William Lewis","53","Australian Labor Party (Western Australian Branch)","Hasluck","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEAHY, Daniel Robert","183","Liberal Democratic Party","North Sydney","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEAHY, Martin James","33997","Australian Sex Party","La Trobe","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEE, Justin Albert Yen","30410","Centre Alliance","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEE, Ross Alexander","","Independent","McEwen","VIC","N","0","1500","3","4111","0"
"2016 Federal election","Candidate","LEE, Thong Sum","","Independent","Northern Territory","NT","N","0","250","1","8782","0"
"2016 Federal election","Candidate","LEESER, Julian Martin","46","Liberal Party of Australia, NSW Division","Berowra","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEHRER, Danielle Louise","34713","VOTEFLUX.ORG | Upgrade Democracy!","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEIGH, Andrew Keith","55","Australian Labor Party (ACT Branch)","Fenner","ACT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEITH, Douglas Ronald","28769","Animal Justice Party","Bruce","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEO, Janina Lee","186","Queensland Greens","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEONG, Andrea Rachel","30414","Science Party","Kingsford Smith","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEROY-DYER, Sharlene Michelle","190","Socialist Alliance","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEVINY, Fiona Marjorie","","Independent","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEWIS, Shane W","","Independent","Flinders","VIC","N","0","650","4","3000","0"
"2016 Federal election","Candidate","LEY, Sussan Penelope","46","Liberal Party of Australia, NSW Division","Farrer","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LEYONHJELM, David","183","Liberal Democratic Party","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Senate Group","Liberal & Nationals","","Liberal & Nationals","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Senate Group","Liberal/The Nationals","","Liberal/The Nationals","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIDDLE, Kerrynne Jeanette","44","Liberal Party of Australia (S.A. Division)","South Australia","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LILLIS, Jennifer","24","Country Liberal Party (NT)","Northern Territory","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIM, Danny","","Independent","New South Wales","NSW","N","0","0","0","130","0"
"2016 Federal election","Candidate","LIMBRICK, David Boyd","183","Liberal Democratic Party","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIN, Shan-Ju","28910","Katter's Australian Party (KAP)","Moreton","QLD","N","0","5200","7","2397","0"
"2016 Federal election","Candidate","LINCOLN, Catherine Anne","191","Christian Democratic Party (Fred Nile Group)","Macquarie","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LINDGREN, Joanna Maria","211","Liberal National Party of Queensland","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LINDLEY, Daniel","31","The Greens (WA) Inc","Moore","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LINES, Susan","53","Australian Labor Party (Western Australian Branch)","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LINNEY, Matthew James","183","Liberal Democratic Party","Bonner","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIONS, Deborah Ann Jane","191","Christian Democratic Party (Fred Nile Group)","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LITTLEPROUD, David Kelly","211","Liberal National Party of Queensland","Maranoa","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIU, Bin","28769","Animal Justice Party","Hindmarsh","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIU, Kingsley","32","Australian Greens","Lindsay","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIU, Le","43","Liberal Party of Australia (Victorian Division)","Melbourne","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LIVINGSTON, Duncan Macquarie","34712","Renewable Energy Party","Lyons","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LJUBICIC, Rosie Maria","32","Australian Greens","Scullin","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOADER, Matthew Thomas","54","Australian Labor Party (South Australian Branch)","Sturt","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOCK, Tyrone Henry John","183","Liberal Democratic Party","Adelaide","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LONG, Dorothy Lorraine","152","Family First Party","McEwen","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOPEZ, Esteban","34713","VOTEFLUX.ORG | Upgrade Democracy!","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOUD, Lorrae Olive","53","Australian Labor Party (Western Australian Branch)","Forrest","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOURIGAN, Annette Myree","33991","Glenn Lazarus Team","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOVE, Katrina Elizabeth","28769","Animal Justice Party","Western Australia","WA","N","0","1650","4","649","0"
"2016 Federal election","Candidate","LOVE, Richard Laing","28910","Katter's Australian Party (KAP)","Flynn","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LOVEJOY, Kirsten Monica","186","Queensland Greens","Brisbane","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LUDLAM, Scott","31","The Greens (WA) Inc","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LUDVIK, Anna Clare","28769","Animal Justice Party","Page","NSW","N","0","150","2","0","0"
"2016 Federal election","Candidate","LUTZ, Geoffrey Keith","","Independent","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LYFORD, Julie Dawn","32","Australian Greens","Lyne","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LYNCH, Debra Leigh","30413","Drug Law Reform Australia","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LYNCH, Stephen Anthony","152","Family First Party","Hinkler","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","LYNCH, Stephen John","30410","Centre Alliance","Lindsay","NSW","N","0","50","1","4549","0"
"2016 Federal election","Candidate","LYONS, Kristen","186","Queensland Greens","Moreton","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACDONALD, Ian Douglas","211","Liberal National Party of Queensland","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACDONALD, James Edward","32","Australian Greens","Kingsford Smith","NSW","N","0","300","2","5081","0"
"2016 Federal election","Candidate","MacDONALD, Marney","","Independent","Northern Territory","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACFADYEN, Ivan Richard","32","Australian Greens","Shortland","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MacFARLANE, Bettina Margaret","24","Country Liberal Party (NT)","Lingiari","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACKENZIE, John Andrew","32","Australian Greens","Newcastle","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACKIN, Dean","154","Pauline Hanson's One Nation","New South Wales","NSW","N","0","0","0","4302","0"
"2016 Federal election","Candidate","MACKLEY, Aaron","30425","Australian Motoring Enthusiast Party","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACKLIN, Jennifer Louise","51","Australian Labor Party (Victorian Branch)","Jagajaga","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MACNAMARA, Sean Patrick","33989","Australian Defence Veterans Party","Fadden","QLD","N","0","3500","1","1997","0"
"2016 Federal election","Candidate","MADDEN, Peter James","152","Family First Party","Tasmania","TAS","N","0","0","0","5173","0"
"2016 Federal election","Candidate","MADDISON, Andrew Robert","39","National Party of Australia - Victoria","Bendigo","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MADIGAN, John Joseph","33982","John Madigan's Manufacturing and Farming Party","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAGUIRE-ROSIER, Josephine","32","Australian Greens","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAH, Peter Siew Hun","33259","Australian Cyclists Party","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAIDEN, Kathryn Ellen Marian","32","Australian Greens","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAILLER, David Matheson Kendall","34718","CountryMinded","New England","NSW","N","0","2000","1","6093","0"
"2016 Federal election","Candidate","MAILLER, Peter James","34718","CountryMinded","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAJETIC, Silvija","29739","Rise Up Australia Party","Solomon","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAJOOR, Lucius Gerard","28","Democratic Labour Party","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAK, Timothy Don Hugh","183","Liberal Democratic Party","Greenway","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAKSIMOVIC, Milan","191","Christian Democratic Party (Fred Nile Group)","McMahon","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MANDELSON, Jan Michele","37","National Party of Australia - N.S.W.","Whitlam","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MANNERS, Craig William","152","Family First Party","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MANNOUN, Ned","46","Liberal Party of Australia, NSW Division","Werriwa","NSW","N","0","0","0","4203","0"
"2016 Federal election","Candidate","MANSFIELD, Sarah","32","Australian Greens","Corio","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MANSON, Robert Charles","34712","Renewable Energy Party","Tasmania","TAS","N","0","0","0","7362","0"
"2016 Federal election","Candidate","MANTEL, Alice Christina","32","Australian Greens","Reid","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MANZI, Natasia Olga","154","Pauline Hanson's One Nation","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Senate Group","Marijuana (HEMP) Party/Australian Sex Party","","Marijuana (HEMP) Party/Australian Sex Party","Northern Territory","NT","Y","0","0","0","0","0"
"2016 Federal election","Senate Group","Marijuana (HEMP) Party/Australian Sex Party","","Marijuana (HEMP) Party/Australian Sex Party","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARINO, Nola Bethwyn","41","Liberal Party (W.A. Division) Inc","Forrest","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARKHAM, Amanda-Sue","36","Liberal Party of Australia - Tasmanian Division","Franklin","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARKS, Robert James","30420","Palmer United Party","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARKUS, Louise Elizabeth","46","Liberal Party of Australia, NSW Division","Macquarie","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARLES, Richard Donald","51","Australian Labor Party (Victorian Branch)","Corio","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARRIAGE, Belinda Ann","","Independent","Queensland","QLD","N","0","500","3","5000","0"
"2016 Federal election","Candidate","MARRIOTT, Joy","28910","Katter's Australian Party (KAP)","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSDEN, Jonathon","32","Australian Greens","Gellibrand","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSH, Bronwyn Elizabeth","186","Queensland Greens","Wide Bay","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSH, Jillian Kay","32","Australian Greens","Grey","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSH, Wanda Lee","34001","Yellow Vest Australia","South Australia","SA","N","0","1000","1","0","0"
"2016 Federal election","Candidate","MARSHALL, Gavin Mark","51","Australian Labor Party (Victorian Branch)","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSHALL, Tristan","","Independent","Northern Territory","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARSKELL, Kaye Lynette","","Independent","Tasmania","TAS","N","0","0","0","400","0"
"2016 Federal election","Candidate","MARTIN, Arjay Rase","","Independent","Hunter","NSW","N","0","0","0","20","0"
"2016 Federal election","Candidate","MARTIN, Carol Anne","53","Australian Labor Party (Western Australian Branch)","Durack","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARTIN, Daniel Edward","152","Family First Party","Aston","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARTIN, Scott Andrew","54","Australian Labor Party (South Australian Branch)","Grey","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARTIN, Sharon May","191","Christian Democratic Party (Fred Nile Group)","North Sydney","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MARTIN, Steven Leigh","33980","Jacqui Lambie Network","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MATHESON, Julie","","Independent","Western Australia","WA","N","0","30568","38","28030","0"
"2016 Federal election","Candidate","MATHESON, Russell Glenn","46","Liberal Party of Australia, NSW Division","Macarthur","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MATHIAS, James Robert","43","Liberal Party of Australia (Victorian Division)","Holt","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MATHISON, James Christopher","","Independent","Warringah","NSW","N","0","8000","76","8500","0"
"2016 Federal election","Candidate","MATLEN, John","28769","Animal Justice Party","Scullin","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAWER, Gene Laurence","191","Christian Democratic Party (Fred Nile Group)","Lyons","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAYER, Ernest Bruce","152","Family First Party","Wide Bay","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MAYNE, Stephen David","","Independent","Menzies","VIC","N","0","40540","126","52527","0"
"2016 Federal election","Candidate","McADAM, Jennifer Ellen","28769","Animal Justice Party","McMillan","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McALLISTER, Jennifer Ryll","50","Australian Labor Party (N.S.W. Branch)","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MCALPINE, Bethany Rachael","191","Christian Democratic Party (Fred Nile Group)","Page","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McBRIDE, Emma Margaret","50","Australian Labor Party (N.S.W. Branch)","Dobell","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCAFFREY, Simon Thomas","152","Family First Party","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCALLUM, Carmel Mary","32","Australian Greens","Gilmore","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCARTHY, Daniel Alexander","","Independent","Leichhardt","QLD","N","0","46644","22","43267","0"
"2016 Federal election","Candidate","McCARTHY, Graham Patrick","34717","Mature Australia Party","Victoria","VIC","N","0","0","0","2285","0"
"2016 Federal election","Candidate","McCARTHY, Malarndirri","64","Australian Labor Party (Northern Territory) Branch","Northern Territory","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCARTHY, Regina Rose","29739","Rise Up Australia Party","Lingiari","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCLUSKEY, Michael John","","Independent","Wannon","VIC","N","0","0","0","4930","0"
"2016 Federal election","Candidate","McCORMACK, Caroline Anne","152","Family First Party","Oxley","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCORMACK, Joanna Jane","33968","Australian Progressives","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCORMACK, Michael Francis","37","National Party of Australia - N.S.W.","Riverina","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCORMACK, Paul Anthony","28","Democratic Labour Party","New South Wales","NSW","N","0","5500","1","3541","0"
"2016 Federal election","Candidate","McCRACKEN, Craig","152","Family First Party","Chisholm","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McCULLOCH, Kate Melissa","154","Pauline Hanson's One Nation","Tasmania","TAS","N","0","0","0","21942","0"
"2016 Federal election","Candidate","McCULLOUGH, Brigid","188","Australian Citizens Party","Solomon","NT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McDONALD, Frances Theresa","30413","Drug Law Reform Australia","Longman","QLD","N","0","0","0","300","0"
"2016 Federal election","Candidate","McDONALD, James Joseph","183","Liberal Democratic Party","McMillan","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McDONALD, James William Walter F","30420","Palmer United Party","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McEWEN, Anne","54","Australian Labor Party (South Australian Branch)","South Australia","SA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McFARLANE, Noel John","33259","Australian Cyclists Party","Grayndler","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McGAHEY, Victoria","","Independent","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McGARVIE, Roderick John","152","Family First Party","Queensland","QLD","N","0","0","0","429","0"
"2016 Federal election","Candidate","MCGAUCHIE, Duncan James Gordon","43","Liberal Party of Australia (Victorian Division)","Murray","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McGOWAN, Catherine","","Independent","Indi","VIC","N","0","203748","1490","212468","0"
"2016 Federal election","Candidate","McGRATH, James Anthony","211","Liberal National Party of Queensland","Queensland","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McINTOSH, Darren Keith","30356","Pirate Party Australia","New South Wales","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McKENZIE, Bridget Grace","","Independent","Victoria","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McKENZIE-KIRKBRIGHT, Levi John","30413","Drug Law Reform Australia","Melbourne Ports","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McKIM, Nicholas James","32","Australian Greens","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MCKINNON, Hugh","32","Australian Greens","Jagajaga","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McLACHLAN, Christopher William","34712","Renewable Energy Party","Grayndler","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MCLEOD, Helen Constance","32","Australian Greens","Kooyong","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McMAHON, Gregory Michael","","Independent","Queensland","QLD","N","0","0","0","8068","0"
"2016 Federal election","Candidate","McNAMARA, Karen Jane","46","Liberal Party of Australia, NSW Division","Dobell","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McREA, Brian Ross","217","Australia First Party (NSW) Incorporated","Western Australia","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McROSTIE, Fiona Jane","28769","Animal Justice Party","Maribyrnong","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","McVEIGH, John Joseph","211","Liberal National Party of Queensland","Groom","QLD","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MEAD, Clinton Shane","183","Liberal Democratic Party","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MEDDICK, Andrew Martin","28769","Animal Justice Party","Corangamite","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MELKONIAN, Hovig Carl","51","Australian Labor Party (Victorian Branch)","Casey","VIC","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MEOW-MEOW, Meow-Ludo Disco Gamma","30414","Science Party","Grayndler","NSW","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MIDDLETON, Timothy Brian","29739","Rise Up Australia Party","Mallee","VIC","N","0","0","0","250","0"
"2016 Federal election","Candidate","MIDSON, Ricky Leigh","184","Shooters, Fishers and Farmers Party","Tasmania","TAS","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MIHALJEVIC, Denis","215","Secular Party of Australia","Australian Capital Territory","ACT","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MILES, Lee-Anne Carol","31","The Greens (WA) Inc","Pearce","WA","Y","0","0","0","0","0"
"2016 Federal election","Candidate","MILLS, Arthur Brian","","Independent","Farrer","NSW","N","0","6","1","722","0"
